,Episode,Best score so far,Eval score,"Eval, g: [0.]: mean_agg","Eval, g: [0.]: std_agg","Eval, g: [0.]: mean_C0","Eval, g: [0.]: mean_C1","Eval, g: [0.]: std_C0","Eval, g: [0.]: std_C1","Eval, g: [0.25]: mean_agg","Eval, g: [0.25]: std_agg","Eval, g: [0.25]: mean_C0","Eval, g: [0.25]: mean_C1","Eval, g: [0.25]: std_C0","Eval, g: [0.25]: std_C1","Eval, g: [0.5]: mean_agg","Eval, g: [0.5]: std_agg","Eval, g: [0.5]: mean_C0","Eval, g: [0.5]: mean_C1","Eval, g: [0.5]: std_C0","Eval, g: [0.5]: std_C1","Eval, g: [0.75]: mean_agg","Eval, g: [0.75]: std_agg","Eval, g: [0.75]: mean_C0","Eval, g: [0.75]: mean_C1","Eval, g: [0.75]: std_C0","Eval, g: [0.75]: std_C1","Eval, g: [1.]: mean_agg","Eval, g: [1.]: std_agg","Eval, g: [1.]: mean_C0","Eval, g: [1.]: mean_C1","Eval, g: [1.]: std_C0","Eval, g: [1.]: std_C1",Loss 1,Loss 2,"Train, Cost 1","Train, Cost 2","Train, Aggregated cost"
0,50,293271.50926321925,293271.50926321925,3173.6010596087513,763.2056894727436,2062840.6887456877,390059974.6927406,496083.69815728354,62042188.92342865,145221.0786599133,31645.988386124096,2035818.4869400759,371467349.05495435,549932.1769109155,80806900.0374859,282851.55643603497,51407.26733166031,2017006.5207698725,365690016.84607565,496145.5049732689,66374820.668821745,448435.54405633797,81815.00423782587,2154528.710243727,387925961.94541156,444872.7778134838,70776912.34793776,586675.7661042013,150293.95740782234,2117429.8732695617,381339247.9677307,598995.9346937677,97691072.31508449,20793.333984375,776657024.0,2188284.948285966,503275715.93955064,374186.79961466684
1,100,293271.50926321925,295775.0464877001,3152.567206325543,729.3525171731768,2049168.6841116028,380721072.23687476,474079.13616256486,73204552.75071412,149088.63224799506,34584.227121212636,2151501.9098095493,381175938.1153585,537339.9021550255,88404445.22630064,285138.39711331564,66046.06626320242,2078171.170620189,368601745.0766901,540452.6837948612,85370647.86338706,435400.40299412434,97257.6149739796,2099890.089498993,376647052.56507474,502277.5168194456,84146273.40720028,606095.2328767398,124248.47622180554,2267234.2176294294,393961901.36988086,533961.8275407079,80761509.54417361,9315.25390625,692999296.0,2215952.7188989385,494826865.92215294,411094.45119090634
2,150,292131.4152425068,292131.4152425068,3041.1291588579893,740.7998521724443,1976733.9532576925,409649381.896661,481519.9039120889,79704782.1857891,145527.35593420776,24059.005541079277,2096977.4823539471,372080192.98187834,387140.83492967143,61660060.5938533,297730.25353472214,68301.92452643382,2139227.0551778655,384910102.53996086,506325.10827955685,88337763.79219201,443519.0594971096,105790.92760878438,2212049.0244813645,383645835.22266793,659588.148803455,91477006.48311129,570839.2780876363,109531.49294449882,2137401.0633959877,371045530.75696373,562806.0211285435,71195470.41392422,10080.845703125,656104000.0,2075933.9813296604,493466897.9001527,404520.71484413085
3,200,289428.02840886824,289428.02840886824,3141.1886024191394,759.9616098350057,2041772.5915724407,366589956.1110272,493975.0463927536,87189466.51512645,146466.41392480923,28992.13974023824,2079377.225671201,374574544.5274905,499406.0040732242,74003873.88110352,273806.79254571267,49611.567285861725,1979143.5632830188,353969686.7461434,419416.1863023204,64139096.558820866,429052.5929203477,67666.84861869788,2063646.5314841042,371157698.3538066,372356.11335543805,58539955.946705945,594673.1540510524,95242.0021954417,2228717.367749722,386537550.133184,455962.14012947236,61907301.42703711,15755.5830078125,901067200.0,2128001.499058575,548292389.0441267,420309.99905996886
4,250,289428.02840886824,296357.941150062,2983.2020210332207,656.3793464915524,1939081.313671594,768720268.5258956,426646.5752195092,478733957.1634243,166971.81217778474,34143.572143545796,2176061.638143759,427598526.7478091,416967.6139718415,88097767.7792871,327718.8524441032,71777.17329857689,2080121.917589876,423954386.25974435,562221.9442001758,92790607.19935597,416104.9421852808,70349.42469730967,2070011.9929310062,359934279.22959965,437484.07309776207,60853056.06369779,568010.8969221081,114580.4436041957,2101747.490745359,369207082.9993704,507802.80296578235,74477288.34272721,8625.0927734375,644553856.0,2198234.55368895,524972491.5905332,406693.19162261975
5,300,286078.6879781873,286078.6879781873,3173.235771737185,552.6563081054512,2062603.25162917,638468372.1937257,359226.60026854306,75098178.85299282,150352.37219159686,36495.493896460925,2179819.61922134,384376708.840488,601212.1012052569,93282445.75586715,273613.1403188877,49919.329515466314,1973272.2483000106,353723810.16625404,451206.1225635782,64498176.73831514,428393.1403077494,95422.72429981861,2114745.1844964926,370569139.871884,566486.4287150871,82529107.77624868,574861.5513009652,117377.69338130852,2171593.3098380407,373660008.3456274,540880.3836587846,76295500.69785054,8179.255859375,594811968.0,2133932.991679904,531332452.3001383,409389.32534641156
6,350,286078.6879781873,287956.1461930581,3283.0856597945312,832.6341443694383,2134005.678866445,857245461.5253032,541212.1938401348,131087548.50341552,147141.7078781172,29120.07694455307,2157082.855344416,376097191.9170715,409957.5944105822,74792510.30323781,290664.6963285372,61796.351595268556,2114404.5427919454,375749700.68430626,479332.52409350564,79927495.23061639,438729.82666333887,85864.7399646388,2162881.29058939,379511556.01136404,511313.1622586552,74283508.26717134,559961.414435503,114372.01084858055,2212709.3674264257,363974919.3830769,554008.6793362199,74341807.05157737,7853.857421875,670081280.0,2121917.8214847227,656377714.6351951,431935.29888900113
7,400,286078.6879781873,294664.2567466666,3157.1223294967103,947.2492435337444,2052129.5141728618,448908781.45789254,615712.0082969338,223785561.565365,168482.20956086816,30489.592278562206,2225513.84179179,431377203.33288187,481455.86064041586,77962564.3128632,301370.7670785198,73795.79864338778,2205964.387531931,389576032.81454384,543992.4872461238,95489618.14828749,424195.0959221484,95080.28954319491,2104536.0652518612,366934237.7774447,490757.3659421492,82254226.5355027,576116.0888423,101218.7443520245,2215765.4445363637,374475457.74749494,493241.87832470576,65792183.82881591,7765.16943359375,750217536.0,2191779.437388526,508513665.2941273,386619.8504517385
8,450,286078.6879781873,289988.3677325846,3181.761931816314,635.7891011405917,2068145.2556806044,553741177.5816836,413262.9157413846,220161194.1162391,157961.97492213626,28360.63168799122,2391257.7099953345,403527361.6675684,513660.52447317244,72446971.74658124,308682.1977105502,74606.33185852693,2364034.1430634465,398922822.8806518,566622.5998287026,96505018.96921553,431405.4784130627,81345.08443799216,2132961.1392585044,373173760.9115682,414082.7373959293,70384848.19470114,548710.4256853575,96342.63279779624,1979868.6911921739,356661776.69548243,416778.4036725705,62622711.318567544,7411.5458984375,661342144.0,2198674.674604312,585014018.7745413,431651.37270371546
9,500,286078.6879781873,296113.6126950385,3010.720966285827,807.678991521213,1956968.6280857872,498824916.84698546,524991.3444887884,168582259.54456392,147736.12998345244,29380.894766536083,2155249.0231827376,377648190.88742816,517360.0095577617,75035440.39177263,295789.75216719374,55831.8716998009,2088227.801154967,382438450.0161969,479002.36761371215,72166006.87533025,443592.6311912826,84231.08265213686,2139685.4770993865,383733718.5400785,509572.5668177526,72845962.72195368,590438.829166978,118076.68137495236,2225021.6331042014,383785238.95853573,440671.05243810243,76749842.893719,6946.2607421875,800036928.0,2103170.5867283456,466477397.05910254,354088.03720954503
10,550,286078.6879781873,306066.638065153,3156.9854355303005,585.2817051321707,2052040.533094695,366336180.24214554,380433.1083359108,66594284.42499076,142048.15320150828,25683.32299389932,2101720.821217384,363020035.86026937,393859.80927252705,66143412.61513901,313161.25634702813,72116.40230380915,2287671.752950157,404821961.4981863,544275.9442379888,93255281.22503452,451231.2247096783,99250.39318392314,2160288.8653551782,390346965.12660277,449172.8912796036,85897722.5289459,620735.5706320198,158499.40405717658,2095316.1542977502,403478120.91081274,521208.39359975426,103024612.63716479,6962.0888671875,636734336.0,2108093.72037927,590878802.0620075,401535.62530001893
11,600,286078.6879781873,294451.515884925,2982.7822170279583,784.5296597488818,1938808.441068173,1298572237.8323014,509944.2788367732,264526163.0690638,168872.61999415274,36859.65349076066,2126448.4184926148,432689466.7293194,594682.7497547104,94210880.0843106,277082.3883635264,61426.35181286213,2150769.5348875658,358056335.33769673,445758.5769245763,79530551.2498989,423845.425445232,85298.39023335857,2051347.2861195742,366648919.6238279,474994.8776312764,73791232.83727238,599474.3634046857,136826.4120663028,2178122.045264514,389658336.2130458,606969.1376809521,88937167.84309681,4277.7001953125,660098688.0,2162411.9472605316,488433950.0791279,328394.8268346458
12,650,286078.6879781873,308260.40835355426,3194.1654392157093,702.3416350586855,2076207.5354902116,1528844998.8650815,456522.0627881456,516682556.11584413,201723.66814248127,50059.01077223887,2160646.1436470062,517999598.73950994,463035.7797891514,129098834.6352164,317494.51188738394,62746.79581989169,2052893.2496365802,410689972.20396256,586628.412329107,81084997.78005613,428902.50920926494,83724.7489970334,2186831.0540131466,370986564.29669183,617780.2665001426,72379322.2494788,589987.1870894256,118856.00573702584,2164963.880563552,383491671.60812676,408307.06685244077,77256403.72906679,3898.0107421875,715312128.0,2252889.365865996,592823105.3730108,468458.32193630753
13,700,286078.6879781873,293545.95198428276,2436.3179387364935,1047.1175226401945,1583606.6601787205,1571042961.942718,680626.3897161264,912600953.4494802,147331.45914735046,31887.127508080783,2184273.653611881,376508972.8222755,563973.2303992443,81363628.57068719,288862.2263151905,58052.515949547495,2168883.1183903534,373352011.0913574,557724.9333134484,74970968.38088533,430617.89933678607,96498.92525737167,2144134.719636481,372487467.85200244,501820.66383086826,83484122.97243588,598481.8571833501,112112.61884660424,2174251.3774883547,389013207.16917765,464103.93954739365,72873202.25029276,4938.47705078125,611968576.0,2008160.907614841,513392080.0888433,383833.37452640856
14,750,281486.93009233114,281486.93009233114,3308.7912914527487,611.0372591861969,2150714.339444286,490685050.66092163,397174.21847102814,198532325.27633387,137241.53923871357,22281.430109129487,1928625.8818088449,351042124.3752288,390026.2020905084,56918612.850181945,297197.3227214242,53212.216667321816,2184870.782317971,384171648.7555334,504680.061775613,68697780.088254,399993.3504065712,70848.29160222755,1995286.4272809413,345995808.2099346,468879.3060032713,61269596.85446887,569693.6468034941,107908.04746762445,2109293.53484488,370300870.4222712,418848.1076895071,70140230.85395588,6728.765625,666650240.0,2188728.865145976,539716354.8102223,391407.50115682743
15,800,281486.93009233114,448141.67015343206,3175.3126218775774,762.1423588396003,2063953.2042204246,638373658.6485058,495392.53324574005,101914095.09580202,891789.5178626603,208980.62466819744,1922129.2647966014,2312886358.648527,620471.6687333152,543048855.4381486,327119.4251805803,93502.10580988864,2178498.091667024,423076754.6430872,672453.5246111704,120957334.19652097,433423.5356061778,104605.2158705623,2166176.123989913,374911672.15069085,508282.4024764905,90568278.17663316,585200.5594958643,129167.72133328817,2149062.8894666755,380380363.6723119,561655.5717655227,83959018.86663733,4037.894287109375,784515072.0,2057550.094984574,516940144.2337892,355513.0620598936
16,850,281486.93009233114,283987.5169722963,3052.2060847019316,739.9760178677375,1983933.955056256,920759392.9116943,480984.4116140294,317027379.79266113,135817.37123695333,24313.402787097733,1953828.0776119719,347263680.98324275,433108.3260943179,62048210.6900497,282279.2955418664,56306.737411236216,2119642.6241414747,364843441.58028483,493695.09243935865,72766025.51265807,453775.6596223781,100200.26508391279,2307559.3001880455,392503051.90599835,475349.229637159,86701868.23291868,545013.0523755819,126123.42091214216,2019559.8087150224,354258484.0441283,580203.8503379261,81980223.59289236,3306.25,613897280.0,2087803.7919423804,570945966.8947034,430487.9671038836
17,900,281486.93009233114,295359.0161668403,3171.892735919515,666.826610622198,2061730.2783476852,783598804.9876171,433437.2969044287,174595721.46434492,147317.30816421876,31149.230626892357,2100192.124175019,376724424.85444367,406330.2326921175,80179220.46070573,286795.0726971781,46818.36787803592,2081389.1604909247,370752205.34584045,433306.69674885867,60526178.86651014,443346.5309320101,70347.73451664737,2155623.2287334506,383515119.0648308,450986.3763615734,60837064.65932134,596164.2763048748,134053.01403923362,2229913.027468393,387506779.5981687,562678.9212136238,87134459.12550189,4854.35986328125,711018048.0,2138190.5835673967,503020638.9750687,379319.0926142965
