,Episode,Best score so far,Eval score,"Eval, g: [0.]: mean_agg","Eval, g: [0.]: std_agg","Eval, g: [0.]: mean_C0","Eval, g: [0.]: mean_C1","Eval, g: [0.]: std_C0","Eval, g: [0.]: std_C1","Eval, g: [0.25]: mean_agg","Eval, g: [0.25]: std_agg","Eval, g: [0.25]: mean_C0","Eval, g: [0.25]: mean_C1","Eval, g: [0.25]: std_C0","Eval, g: [0.25]: std_C1","Eval, g: [0.5]: mean_agg","Eval, g: [0.5]: std_agg","Eval, g: [0.5]: mean_C0","Eval, g: [0.5]: mean_C1","Eval, g: [0.5]: std_C0","Eval, g: [0.5]: std_C1","Eval, g: [0.75]: mean_agg","Eval, g: [0.75]: std_agg","Eval, g: [0.75]: mean_C0","Eval, g: [0.75]: mean_C1","Eval, g: [0.75]: std_C0","Eval, g: [0.75]: std_C1","Eval, g: [1.]: mean_agg","Eval, g: [1.]: std_agg","Eval, g: [1.]: mean_C0","Eval, g: [1.]: mean_C1","Eval, g: [1.]: std_C0","Eval, g: [1.]: std_C1",Loss 1,Loss 2,"Train, Cost 1","Train, Cost 2","Train, Aggregated cost"
0,50,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,100,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,150,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,200,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,250,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,300,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,350,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,400,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,450,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,500,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,550,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,600,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,650,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,700,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,750,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,800,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,850,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,900,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,950,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1000,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1050,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1100,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1150,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1200,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1250,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1300,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1350,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1400,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1450,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1500,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1550,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1600,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1650,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1700,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1750,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
