,Episode,Best score so far,Eval score,"Eval, g: [0.]: mean_agg","Eval, g: [0.]: std_agg","Eval, g: [0.]: mean_C0","Eval, g: [0.]: mean_C1","Eval, g: [0.]: std_C0","Eval, g: [0.]: std_C1","Eval, g: [0.25]: mean_agg","Eval, g: [0.25]: std_agg","Eval, g: [0.25]: mean_C0","Eval, g: [0.25]: mean_C1","Eval, g: [0.25]: std_C0","Eval, g: [0.25]: std_C1","Eval, g: [0.5]: mean_agg","Eval, g: [0.5]: std_agg","Eval, g: [0.5]: mean_C0","Eval, g: [0.5]: mean_C1","Eval, g: [0.5]: std_C0","Eval, g: [0.5]: std_C1","Eval, g: [0.75]: mean_agg","Eval, g: [0.75]: std_agg","Eval, g: [0.75]: mean_C0","Eval, g: [0.75]: mean_C1","Eval, g: [0.75]: std_C0","Eval, g: [0.75]: std_C1","Eval, g: [1.]: mean_agg","Eval, g: [1.]: std_agg","Eval, g: [1.]: mean_C0","Eval, g: [1.]: mean_C1","Eval, g: [1.]: std_C0","Eval, g: [1.]: std_C1",Loss 1,Loss 2,"Train, Cost 1","Train, Cost 2","Train, Aggregated cost"
0,50,304963.6409056857,304963.6409056857,3232.9555598799548,761.2832146958589,2101421.1139219715,368232516.55482376,494834.08955230843,66785442.93585647,161417.31127227435,33601.5846557882,2112539.3909858908,413347391.13495564,485325.7035021701,86081844.08250955,337700.21650523425,71621.69872603219,2288263.577943096,436722017.8788615,535772.7965337951,92695479.38259931,461304.35049243574,92551.49866163006,2279780.616255648,399037176.8880258,509633.60040107445,80067122.03165598,561163.3706986043,134955.37513658166,2018258.3073224623,364756190.9540928,534364.1117083922,87720993.83877802,26697.228515625,857178688.0,2106445.496150248,521451824.67627627,449098.9485117517
1,100,299044.2711094795,299044.2711094795,3379.284028988274,633.7213306970095,2196534.6188423787,455362743.2556519,411918.864953056,95930326.57296206,160372.35540755984,37268.235881706125,1989312.7901539227,411000185.6891939,507128.69708812254,95569191.74926114,313594.8087070252,62026.24267281838,2047039.3285090013,405626211.9906237,374180.476538756,80397231.60271224,435700.5143569661,94265.43065476454,2167444.1407702346,376884631.06244725,578981.155640613,81519407.11255898,582174.3930468579,110933.38040415032,2185741.0823140205,378413355.48045754,457190.1109185968,72106697.26269771,15301.833984375,819707456.0,2199374.5130171385,493896470.6347318,369530.08826328715
2,150,299044.2711094795,308133.08031370817,2957.1775880394976,687.0429107299249,1922165.4322256737,809682326.1862069,446577.89197445114,248027211.3908471,141003.89235064437,21780.456098665516,2148340.99303865,360165097.1325595,427324.9300527006,55649183.43176777,324089.8679565771,61821.261731946586,2280329.69783192,419036498.64571834,529495.773288067,79902843.08779582,485060.983011228,100653.30731098185,2155941.082148389,419667538.24901474,474163.60865924414,87116179.88715969,587553.4806620518,127202.93359529386,2167898.1258420674,381909762.4303335,434629.2968523248,82681906.83694099,11470.5,599354304.0,2119988.866745441,493947979.11410326,380241.6199634621
3,200,287111.3880383197,287111.3880383197,3280.6480984897844,727.04489305727,2132421.2640183596,418039841.6923416,472579.18048722524,83895644.70920186,142209.37586397005,29606.122973926227,2077109.1572091382,363513049.7746947,548303.6943766865,75575382.7532195,284442.8049983436,55859.55029747279,2105630.5827147756,367670015.9151319,439133.86138652376,72251138.30324362,416027.283284911,96832.13480056597,2002260.56990336,359889558.65695506,453574.4139591643,83788344.94929881,589596.827945884,122357.99235056786,2155223.154224143,383237938.16482455,501981.23982309195,79532695.02786914,12839.009765625,652716608.0,2104859.814664517,512195851.2775884,343900.0636123586
4,250,287111.3880383197,324722.3191269791,3326.7931129123726,712.9058248721814,2162415.523393042,424991523.5405665,463388.78616691794,168909026.90996668,200396.15163742268,37855.4561856688,2310269.968513397,514099184.3517587,579773.8700969174,97103872.69520809,472329.74411075853,93272.7968245699,2254967.5867378856,611773699.7572482,475685.252032128,120905640.04736587,411628.7469956379,98260.54539047618,2040921.3755786791,356064606.93769324,527831.4320666709,85015203.45793062,535930.1597781639,117987.96907104652,1891749.2270934305,348354603.8558066,490292.61656185414,76692179.89618021,7417.93505859375,640612672.0,2135151.008352145,506846873.6888851,391247.65023634123
5,300,287111.3880383197,292323.796063377,3130.4049165235588,774.7201141882293,2034763.1957403133,522599991.00672656,503568.0742223492,211396238.63475147,166363.96939533445,43027.58207004568,2237842.4780885135,425832792.993604,638600.9396679989,110419401.14081326,285649.3041416574,52326.717314177105,2085795.9386117375,369258299.44554293,488423.57578331477,67642649.87319224,453818.21187458176,91796.78285830635,2174610.09866733,392584246.92508197,513763.2121230892,79410388.54514503,552657.0899887879,114193.72789002195,2050829.570185144,359227108.4927122,486718.5025142857,74225923.12851429,7999.44970703125,653610112.0,2204737.2380138105,555885520.5970967,428870.7675864637
6,350,287111.3880383197,304252.8885324979,3288.9611860989885,899.4102484643514,2137824.7709643426,716660709.583364,584616.6615018282,258558347.40706348,166427.9093966655,37780.16794795155,2104786.023311986,426398206.3613945,581621.3134242173,96740967.93666638,305401.8070622319,64774.94426263593,2284712.265789495,394737636.91511196,544872.7500686417,83761267.24150024,453700.3610710267,97213.8198168074,2190943.0718724746,392476665.237599,512051.41666765366,84105255.74781789,592445.4039464664,118336.60402348613,2125632.182815829,385089512.56520325,476060.1452906946,76918792.61526598,6919.36669921875,550821440.0,2116728.804990953,531775961.56738806,405616.03180405125
7,400,287111.3880383197,288489.44168988743,3407.513131011808,946.1860984499915,2214883.5351576754,538801019.9718182,615020.9639924945,145865986.4105107,144867.35139801525,36714.326730127184,2037225.6849006668,370543436.5801378,534780.5718203756,93992036.81593184,284396.5834768704,58305.41133295634,2123188.1592561356,367592370.36067545,549572.3948604687,75284909.2108736,433905.58227773104,84685.35539043524,2122905.3241825397,375343869.53263944,493938.55227958533,73251366.55665168,575870.1781658088,101783.31243775046,2186754.3452918176,374315615.8077757,482392.51157048595,66159153.08453781,7259.65185546875,792519744.0,2211604.542211322,507803443.30161047,383926.6577149513
8,450,287111.3880383197,301501.05481080565,2796.46336199277,774.72131713756,1817701.1852953003,1617237757.6811545,503568.85613941407,377628766.5256492,149349.7216851184,28499.250958297176,2156547.1573255626,381839634.9093311,558910.7137085906,72582549.95281082,306265.5420735486,65191.046357891246,2218124.267421317,395927080.4281918,568395.3971036169,84204388.25740243,434426.21632385347,90577.89271073577,2124105.0390402167,375794685.8009929,484765.31513444526,78359706.40704232,614667.3306095151,123772.3487922107,2276897.1685946495,399533764.89618486,541952.2615913069,80452026.71493696,5788.0048828125,619970176.0,2141586.134599732,475098419.6310575,393233.4728113125
9,500,287111.3880383197,288456.29753377865,2059.834042443471,945.8039238954362,1338892.127588256,2206580990.218339,614772.5505320334,579172756.8131258,167548.29534239156,43506.18604766922,2016313.608901839,429576627.0635125,467301.3565401483,112069852.39222449,276699.01757001533,62674.235262848655,2085681.500601456,357623041.34041846,454578.51268180355,81118201.16344953,432806.4803135489,73503.53101353029,2216426.8581821327,374360140.6523483,483462.6004079065,63568572.45898948,563167.8604004942,107755.5620887192,2032096.6872327651,366059109.2603212,362815.95960960444,70041115.3576675,8436.5400390625,748401664.0,1924003.8841820597,503612638.3780321,401038.72290723445
10,550,287111.3880383197,288206.0075836481,3104.767183107967,752.1765368593855,2018098.669020179,828846337.805878,488914.7489586006,565394577.9611527,138455.2187256277,23278.967315781352,1944356.4445063958,354150499.353113,430397.7983203399,59445228.60250835,290813.7353408426,50996.276841104016,2098940.793183421,375958915.14991194,467183.01733526686,65893320.41331145,447313.5692498273,70867.20771681661,2299145.8888231046,386905378.0535759,384373.08472938655,61310374.066617094,561342.747418835,112315.84919296164,2071094.5960560546,364872785.8222426,517762.2118638578,73005301.97542502,6688.69970703125,577579264.0,2068010.3102586225,512764520.98543084,378964.59883652395
11,600,280797.92758045177,280797.92758045177,2845.2741131896905,749.3476108465711,1849428.1735732981,834611220.1282665,487075.9470502714,601235995.2427557,147613.0864677619,29578.650605309715,2103695.3335021907,377482938.81567425,447427.8256701962,75725250.38941494,280905.12920872244,59789.793610982095,1984707.1771515512,363191960.7941877,500569.7443642032,77290197.42480312,408397.6151143742,72751.3641172825,2064313.348452435,353256495.3163068,489774.9400840005,62911175.89297732,564228.5329982106,140303.77501820793,2029344.5530321049,366748546.44883704,599317.5469715866,91197453.76183513,5436.92431640625,720237248.0,2135693.0934381187,515586548.6013149,370080.12084477267
12,650,280797.92758045177,284241.01748092135,1909.0069830882194,828.2446058588953,1240854.5390073427,2580511151.620735,538358.993808282,713406562.6416572,152574.38069814324,29901.379230600793,2291442.1004824727,389819063.513725,566405.8485037247,76555825.41766264,276103.2507910824,70350.45077217522,2113735.738359364,356820490.29004776,577491.1567019977,91003037.64786807,417075.3707408018,89313.79903206097,2109464.8166734907,360762166.3698037,523167.8193712939,77262061.9998756,573543.0781914913,121812.79616428317,1976094.32044479,372803000.8244693,479582.3238473055,79178317.50678407,3157.78662109375,536268576.0,2081110.7629317308,509876800.13290095,431869.31887568004
13,700,280797.92758045177,292503.3020102402,3239.329094705461,672.8920005219737,2105563.91155855,449125068.0871036,437379.8003392829,82425385.93480399,151014.76973099168,25459.64269581161,2097404.9453511094,386346186.4645251,488314.5270351283,65293468.132553086,289228.60066576133,58939.81966577554,2177231.2489411323,373819949.6165487,531473.8372094169,76129001.39437996,426517.16690116806,85252.35777054497,2096001.1329703117,368949544.27002215,490794.7414163169,73741859.13262574,592516.6436585746,140954.68990570158,2209744.5371323377,385135818.37807345,513177.80994977045,91620548.43870604,6430.01318359375,726696320.0,2054154.5750259608,521877583.4168886,383777.7242391609
14,750,280797.92758045177,291156.21741278435,2376.2597267053625,780.1769393699233,1544568.8223584853,2062089892.7485785,507115.0105904501,757443388.5896662,146084.91396720288,28556.49443645486,2041834.2119821818,373695273.678781,394734.98979574966,73205720.55679622,282019.0361889822,58920.64925198222,2088197.3498063262,364536549.6958706,543821.4679479146,76143384.97412172,452511.57778895384,72157.9026781622,2202722.8020589733,391442459.8164071,397511.9971837283,62427336.23302911,572789.2993920773,115920.49644223115,2050699.4214657897,372313044.60485023,501044.79136002215,75348322.68745023,5089.6982421875,613267200.0,1962190.8172000847,518707945.85069376,402574.5511051206
15,800,280797.92758045177,296173.98935424135,2973.636805837639,888.7816703950793,1932863.9237944656,800089782.0419518,577708.0857568017,164793651.415497,168540.8197060358,32131.299758303627,2096561.9888818923,431916445.2690473,494038.8085136631,82233851.09663785,278850.85213388724,52679.12863071829,2025329.6303656588,360480778.14368784,489784.413702895,68072876.83599983,428807.50466728705,82645.2913149793,2109298.7489554347,370930071.12866366,522539.1268378034,71479478.80929545,601697.1334581593,97882.92667387628,2269741.1214333866,391103136.7478036,467019.9454835572,63623902.338019565,4449.46923828125,695055616.0,2163611.118047594,529195281.5031885,396600.0705167716
